gene	oe_lof
MED13	0.0
NIPBL	0.0066527
SMC3	0.0
CNOT1	0.007997800000000001
RLF	0.0
PCF11	0.0
FNDC3B	0.0
TAF1	0.0
RSF1	0.0
NCKAP1	0.0
KDM2A	0.0
BRD4	0.0
HELZ	0.010152
FBN1	0.018895
XPO1	0.0
PRR12	0.0
USP9X	0.010698000000000001
POLA1	0.0
SYNGAP1	0.0
PRKDC	0.024934
HDAC4	0.0
SMG1	0.023202
ZC3H4	0.0
COL5A1	0.017445
SMARCA4	0.011662
TNPO1	0.0
AGO1	0.0
ARHGAP35	0.0
LRP1	0.032397
TOP1	0.0
TRIP12	0.018956
KMT2E	0.012722
HCFC1	0.0
UBTF	0.0
HUWE1	0.026088
KDM3B	0.012543
TRRAP	0.030535000000000003
GRIN2B	0.0
USP7	0.012958
ATP1A3	0.0
ASH1L	0.023938
ANKRD17	0.019796
SMC1A	0.0
NPEPPS	0.0
CHERP	0.0
MED13L	0.020314
RPRD2	0.0
KMT2A	0.031118
CREBBP	0.025349
SF3B1	0.013863999999999998
EIF3B	0.0
PPFIA1	0.014130000000000002
ZSWIM6	0.0
PRPF3	0.0
KAT6A	0.021841
KMT2B	0.026914999999999998
SIN3A	0.014832
CHD2	0.027031
ARID1A	0.022463
GLTSCR1L	0.0
SCN1A	0.022602
MED12	0.022555000000000002
TJP1	0.022625
SPEN	0.031010000000000003
WDFY3	0.037989999999999996
HDAC6	0.0
EHMT1	0.015125999999999999
JMJD1C	0.027844
MAP3K12	0.0
GGNBP2	0.0
CASK	0.0
TLE3	0.0
CHD6	0.031735
UBR5	0.037137
EIF4G1	0.023611
NBEA	0.035174000000000004
SMARCA5	0.01569
TSC2	0.023406
SUPT5H	0.015512999999999999
GREB1L	0.023739
PTCH1	0.015809
CHD7	0.036285000000000005
RAD54L2	0.016026
CNOT3	0.0
AHDC1	0.0
U2SURP	0.016335
RBM25	0.016196000000000002
GIGYF2	0.02997
MBTD1	0.0
DCAF5	0.0
SUV420H1	0.0
RABGAP1	0.016372
KHSRP	0.0
TM9SF2	0.0
MATR3	0.0
PHF21A	0.0
NAV1	0.025417
HIVEP2	0.025372
OGT	0.0
RBBP6	0.025497
GTPBP4	0.0
MYBL1	0.0
TEX11	0.0
DYNC1H1	0.048236
SBNO1	0.025601
THOC2	0.016971
PRKCB	0.0
INO80	0.031343
TAF4	0.0
FLNA	0.026139999999999997
TRIM28	0.0
CHD8	0.038764
RBM33	0.017334
SNRNP200	0.035815
XPO6	0.017294
SMARCAD1	0.017414
FRMPD4	0.0
MACF1	0.056464999999999994
WAC	0.0
BRWD3	0.026535000000000003
C17orf104	0.0
ATP2B1	0.017765
EIF4G2	0.017981
ZNF462	0.032888
WDR26	0.0
CUL4B	0.0
TRIM33	0.018203
STXBP1	0.0
TOPBP1	0.027431
NF2	0.0
TET3	0.018143
MN1	0.0
SUPT6H	0.037832
RP11-762I7.5	0.0
NHS	0.0
RPS6KA3	0.0
MYT1L	0.018386000000000003
UBP1	0.0
PLCL2	0.0
SPTBN1	0.041887
MYH9	0.038313
ZDHHC5	0.0
LUC7L3	0.0
COPB2	0.018746000000000002
DNAJC14	0.0
RNF17	0.03429
ANK3	0.049308
F8	0.028416000000000004
TM9SF3	0.0
DLG3	0.0
MGA	0.042832999999999996
ANKRD52	0.018933000000000002
STAG2	0.018923
SATB2	0.0
USP34	0.054952
MAP3K2	0.0
PREX1	0.035185
MED14	0.01933
CYFIP2	0.029307
ZNF407	0.029251999999999997
KPNB1	0.019306999999999998
ETV5	0.0
CUL2	0.019602
HNRNPM	0.0
PIAS1	0.0
DAAM2	0.019827
EFTUD2	0.019846000000000003
YTHDC1	0.019788999999999998
NCBP1	0.019877000000000002
TCF20	0.030129000000000003
DLL1	0.0
UBR4	0.06277200000000001
STAT3	0.019944999999999997
IGF2BP3	0.0
NSD1	0.045197
SRCAP	0.048452999999999996
ZNF777	0.0
HNRNPK	0.0
SCAF8	0.030519
ARID2	0.037297000000000004
CCT3	0.0
COL5A2	0.042311
PHC3	0.02036
GATAD2B	0.0
FBXO11	0.02046
NOTCH1	0.046153
COL3A1	0.042706
PPP3CB	0.0
ILF3	0.02065
PLEKHA5	0.037955
ZNF521	0.020618
TAB2	0.0
CTNND2	0.031044
DDX5	0.0
ACTN4	0.02077
UPF2	0.031537
CARM1	0.0
PAXIP1	0.03149
BPTF	0.052698
EP300	0.049966
FBXL19	0.0
CREBRF	0.0
HDAC2	0.0
SP1	0.0
MAPK8IP2	0.0
AP2A1	0.021266
ARCN1	0.0
SPTAN1	0.055885000000000004
RPTOR	0.039042
CAND1	0.021234
COPS2	0.0
SALL4	0.0
CACNA1C	0.048672
ARID1B	0.044396
PSMD2	0.021599
PSMD3	0.0
KMT2D	0.066852
UBAP2L	0.03259
ZNF148	0.0
BTK	0.0
RRM1	0.021629
PPP2R5E	0.0
